baseTick,quoteTick,bestAsk,bestAskSize,bestBid,bestBidSize,price,sequence,size,time
1EARTH,USDT,0.031137,22071.0768,0.031135,45.8708,0.031136,1637760515358.0,56654.6763,2022-04-19 22:13:57.266
1INCH,USDT,1.323,2048.4299,1.322,2.0045,1.322,1613403936674.0,0.1177,2022-04-27 19:37:33.257
AAVE,KCS,8.6518,0.0153,8.6082,2.8,8.615,1615523198123.0,0.019,2022-04-19 21:11:46.563
AAVE,BTC,0.004304,0.0453,0.004297,2.8712,0.004299,1613265772380.0,0.0065,2022-04-27 19:41:03.808
AAVE,USDT,179.968,1.4068,179.88,7.0,179.85,1614262301290.0,0.1363,2022-04-19 21:11:46.710
AAVE,UST,181.237,1.4068,180.883,3.8671,181.084,1613009740704.0,0.1234,2022-04-19 22:27:02.726
AAVE3L,USDT,0.078102,14.2934,0.077672,4821.9024,0.078,1636550371039.0,50.0,2022-04-27 19:42:10.145
AAVE3S,USDT,1.5581,266.0,1.55,232.5165,1.5579,1636530286181.0,20.2198,2022-04-19 21:11:46.645
ADA,USDC,0.942817,254.6576,0.942387,742.5501,0.942798,1613948311795.0,100.8118,2022-04-19 21:11:46.707
ADA,KCS,0.0442,817.7445,0.0441,351.8093,0.0442,1615120443738.0,0.0009,2022-04-27 19:25:47.362
ADA,USDT,0.840578,430.6293,0.840385,1314.3696,0.840386,1621877038575.0,23.2082,2022-04-27 19:38:48.575
ADA,BTC,2.288e-05,3614.1594,2.287e-05,6.2449,2.288e-05,1613708296217.0,0.7472,2022-04-19 22:16:15.188
ADA3L,USDT,0.010153,36100.0,0.010114,5262.0264,0.010114,1621859276286.0,263.5895,2022-04-19 21:11:46.537
ADA3S,USDT,0.7574,2539.1331,0.7527,2539.1537,0.7543,1621770266945.0,1609.3196,2022-04-27 19:44:25.036
AERGO,USDT,0.2424,3244.6664,0.2411,18.9667,0.2411,1632859434651.0,6.2683,2022-04-19 21:11:46.656
AERGO,BTC,6.1e-06,7968.6479,6.07e-06,2018.4437,6.1e-06,1612794916089.0,336.9999,2022-04-27 19:42:10.156
AGIX,USDT,0.10698,627.3413,0.10664,482.3114,0.10698,1629135007816.0,18.6202,2022-04-27 19:19:47.433
AGLD,USDT,1.264,954.1151,1.2616,91.0817,1.2654,1634361568314.0,3.8462,2022-04-19 22:13:57.259
AION,ETH,2.93e-05,513.414958,2.85e-05,1611.0,2.92e-05,1615007276431.0,799.028947,2022-04-19 22:13:57.278
AION,BTC,2.12e-06,2551.212574,2.07e-06,928.383242,2.12e-06,1612757739163.0,3.858254,2022-04-27 19:09:04.456
AKRO,USDT,0.0115175,13500.0,0.0115108,92.0507,0.0115369,1613062126087.0,27000.0,2022-04-19 21:11:46.497
ALBT,USDT,0.20818,145.0,0.20746,587.3195,0.20818,1622353634102.0,101.8398,2022-04-19 22:27:02.728
ALEPH,USDT,0.261724,0.6745,0.26123,4.3453,0.261289,1612782388376.0,568.3362,2022-04-19 21:11:46.405
ALGO,KCS,0.03602,1313.601,0.03596,0.0007,0.03596,1615436478601.0,11.707,2022-04-19 21:11:46.463
ALGO,USDT,0.4479,1160.0,0.4478,567.609,0.4478,1614540598097.0,2.6292,2022-05-14 22:37:37.193
ALICE,BTC,0.0001515,0.1537,0.0001513,37.2517,0.0001514,1632414414596.0,0.0012,2022-04-27 19:39:55.856
ALPACA,USDT,0.6347,0.2122,0.6346,13.7361,0.6349,1629133674444.0,0.9877,2022-04-19 21:11:46.685
ALPHA,USDT,0.3303,5573.9796,0.3295,6765.8989,0.33,1634950831544.0,2072.7187,2022-04-27 19:41:03.805
ALPINE,USDT,5.45,9.1722,5.438,1.7863,5.438,1649819285568.0,0.4285,2022-04-19 21:11:46.442
AMB,ETH,5.728e-06,1184.9462,5.579e-06,959.3123,5.579e-06,1614964365945.0,38.0651,2022-04-19 21:11:46.656
ANC,USDT,1.8652,100.0,1.8636,111.499,1.8636,1616259257735.0,33.501,2022-04-27 19:25:47.379
ANKR,USDT,0.0768,2500.0,0.07668,2500.0,0.07677,1617382921252.0,21.7719,2022-04-19 22:16:15.178
ANKR,BTC,1.7849e-06,6924.1638,1.7787e-06,6899.1653,1.786e-06,1613014276260.0,12.5385,2022-04-27 19:09:04.456
ANT,USDT,4.3207,21.2,4.3188,30.0,4.316,1637165259202.0,14.547,2022-04-19 21:11:46.646
APE,USDT,19.3137,351.3434,19.3038,0.3559,19.3122,1648268492247.0,6.491,2022-04-27 19:46:44.248
APL,USDT,0.00115,1497.4065,0.001141,4958.6535,0.001144,1622222038252.0,468.0689,2022-04-19 22:13:57.262
APL,BTC,2.61e-08,27910.0272,2.54e-08,27700.0,2.58e-08,1622202863692.0,10741.9,2022-04-27 19:22:08.162
AR,USDT,15.211,20.5429,15.162,12.0,15.186,1635397815379.0,0.0105,2022-05-14 22:37:37.200
ARNM,USDT,0.8042,2.018,0.8018,0.9131,0.8031,1649733958622.0,62.1672,2022-04-19 21:11:46.642
ARPA,USDT,0.068846,72.9469,0.068737,25001.4662,0.068881,1613162981225.0,5232.0576,2022-04-19 21:11:46.727
ARRR,USDT,1.7045,25.667,1.7012,51.5615,1.7012,1629155002139.0,0.7651,2022-04-19 22:16:15.179
ARRR,BTC,3.994e-05,133.4356,3.974e-05,578.7213,3.979e-05,1629134993782.0,0.3755,2022-04-27 19:43:17.379
ASTR,BTC,3.907e-06,61.2758,3.903e-06,2.3023,3.905e-06,1642692602617.0,4.0321,2022-04-27 19:44:25.036
ATOM,USDT,21.5473,60.0409,21.5472,21.5,21.5416,1617262923508.0,1.8063,2022-04-27 19:24:34.893
ATOM,ETH,0.007481,0.2418,0.007474,0.0133,0.007475,1613580842160.0,0.2194,2022-04-27 19:25:47.379
ATOM,BTC,0.00055007,6.83,0.00054981,0.0186,0.0005498,1613749795793.0,0.0128,2022-04-27 19:25:47.381
ATOM3L,USDT,0.0959,3406.104,0.0955,3357.3943,0.0955,1633904958795.0,52.0291,2022-04-19 21:11:46.657
ATOM3S,USDT,0.9028,1289.4866,0.9,2.2408,0.9037,1633893900113.0,369.054,2022-04-27 19:46:44.256
AUDIO,USDT,1.3332,195.4,1.3315,195.4,1.3324,1636614539915.0,250.0,2022-04-19 22:13:57.248
AUDIO,BTC,3.185e-05,250.0,3.179e-05,3.64,3.187e-05,1636551544704.0,3.7461,2022-04-19 21:11:46.645
AVAX,USDT,69.748,24.0,69.747,14.4023,69.75,1618046109592.0,0.053,2022-04-27 19:43:17.371
AVAX,BTC,0.00178187,10.6551,0.00177971,3.5,0.00178162,1615726473733.0,1.4558,2022-04-27 19:37:33.263
AVAX3L,USDT,0.3402,1011.2964,0.3388,2.8374,0.3388,1637228154681.0,4.9145,2022-04-27 19:42:10.146
AXS,USDT,38.837,7.5,38.813,7.5,38.818,1646975172291.0,0.0103,2022-04-27 19:38:48.608
AXS3L,USDT,0.1869,1730.4391,0.1864,3882.1138,0.1864,1634137091424.0,38.0395,2022-04-19 22:13:57.256
BADGER,USDT,9.151,12.6,9.128,51.379,9.152,1634934202179.0,0.75185751,2022-04-19 21:11:46.605
BADGER,BTC,0.0002224,55.4569,0.0002213,55.3635,0.0002219,1634905756192.0,0.025,2022-04-27 19:43:17.377
BAKE,BTC,1.955e-05,2.3701,1.946e-05,2869.6959,1.95e-05,1637225186186.0,0.1237,2022-04-19 21:11:46.545
BAKE,ETH,0.0002625,2.8444,0.0002614,5.1691,0.0002623,1637216762756.0,0.3807,2022-04-19 21:11:46.647
BAKE,USDT,0.694,5.5012,0.6929,598.4806,0.6933,1637288153138.0,0.4768,2022-04-27 19:45:31.246
BAL,ETH,0.0052,28.7375,0.005176,28.6864,0.005149,1630710535929.0,0.1204,2022-04-19 22:13:57.262
BAL,USDT,16.067,0.0932,16.009,44.2196,16.055,1630749154916.0,0.0083,2022-04-19 22:13:57.262
BAL,BTC,0.0003675,33.3949,0.0003663,46.8759,0.0003675,1630693799532.0,0.0114,2022-04-27 19:25:47.362
BASIC,USDT,0.00399,39022.3126,0.00396,1345.235,0.00397,1635497557014.0,45.2547,2022-04-27 19:46:44.254
BAT,USDT,0.6665,0.5225,0.666,360.0,0.6656,1645606485246.0,0.412,2022-04-27 19:21:01.079
BAX,ETH,1.263e-07,13108.8324,1.236e-07,7530.0826,1.255e-07,1612902950084.0,2997.0,2022-04-19 21:11:46.456
BCD,BTC,1.124e-05,133.15,1.1e-05,5.3555,1.118e-05,1612814053431.0,17.88908765,2022-04-19 21:11:46.724
BCH,BTC,0.008137,5.4265,0.008129,4.3914,0.008125,1613597376117.0,0.0025,2022-04-19 21:09:25.305
