a,b,c,ba_bstb,ba_bsta,ba_bstbsize,ba_bstasize,bc_bstb,bc_bsta,bc_bstbsize,bc_bstasize,ca_bstb,ca_bsta,ca_bstbsize,ca_bstasize,fwd_arb,rev_arb
USDT,AAVE,BTC,179.88,179.968,7.0,1.4068,0.004297,0.004304,2.8712,0.0453,39213.5,39213.6,1.96663283,1.55726575,6.47308170897023,
USDT,ADA,KCS,0.840385,0.840578,1314.3696,430.6293,0.0441,0.0442,351.8093,817.7445,20.856,20.857,25.2437,70.6339,,9.528128216536725
USDT,ADA,BTC,0.840385,0.840578,1314.3696,430.6293,2.287e-05,2.288e-05,6.2449,3614.1594,39213.5,39213.6,1.96663283,1.55726575,,6.796699145706864
USDT,AERGO,BTC,0.2411,0.2424,18.9667,3244.6664,6.07e-06,6.1e-06,2018.4437,7968.6479,39213.5,39213.6,1.96663283,1.55726575,0.6923747344685482,
USDT,ALGO,KCS,0.6687,0.6689,4711.0508,10740.0,0.03596,0.03602,0.0007,1313.601,20.856,20.857,25.2437,70.6339,,12.233778107340388
USDT,ANKR,BTC,0.07668,0.0768,2500.0,2500.0,1.7787e-06,1.7849e-06,6899.1653,6924.1638,39213.5,39213.6,1.96663283,1.55726575,9.445377280704403,
USDT,APL,BTC,0.001141,0.00115,4958.6535,1497.4065,2.54e-08,2.61e-08,27700.0,27910.0272,39213.5,39213.6,1.96663283,1.55726575,11.37157081597191,
USDT,ARRR,BTC,1.7012,1.7045,51.5615,25.667,3.974e-05,3.994e-05,578.7213,133.4356,39213.5,39213.6,1.96663283,1.55726575,8.511688538562211,
USDT,ATOM,BTC,21.5472,21.5473,21.5,60.0409,0.00054981,0.00055007,0.0186,6.83,39213.5,39213.6,1.96663283,1.55726575,,0.15888027472117372
USDT,ATOM,ETH,21.5472,21.5473,21.5,60.0409,0.007474,0.007481,0.0133,0.2418,2886.24,2886.25,9.4623838,21.0908848,,0.21362081448719206
USDT,AUDIO,BTC,1.3315,1.3332,195.4,195.4,3.179e-05,3.185e-05,3.64,250.0,39213.5,39213.6,1.96663283,1.55726575,6.502779509347678,
USDT,AVAX,BTC,69.747,69.748,14.4023,24.0,0.00177971,0.00178187,3.5,10.6551,39213.5,39213.6,1.96663283,1.55726575,,0.15835112560216302
USDT,BADGER,BTC,9.128,9.151,51.379,12.6,0.0002213,0.0002224,55.3635,55.4569,39213.5,39213.6,1.96663283,1.55726575,4.561079075426844,
USDT,BAKE,BTC,0.6929,0.694,598.4806,5.5012,1.946e-05,1.955e-05,2869.6959,2.3701,39213.5,39213.6,1.96663283,1.55726575,,10.0659660965418
