baseTick,quoteTick,bestAsk,bestAskSize,bestBid,bestBidSize,price,sequence,size,time
1EARTH,USDT,0.0125,9084.3356,0.012422,161335.8609,0.012464,1637701537559.0,106386.3928,2022-03-12 00:04:01.159
1INCH,USDT,1.362,3406.0533,1.36,1059.5205,1.36,1613356398564.0,0.3355,2022-03-10 19:25:56.957
2CRZ,BTC,2.2e-07,63574.00313637,2e-07,33559.3875,2.1e-07,1646867272195.0,2230.3095,2022-03-11 23:32:00.954
2CRZ,USDT,0.0083,128363.37855784,0.0082,20068.3254,0.0082,1646867071741.0,12078.1026,2022-03-11 23:32:00.954
AAVE,BTC,0.003079,3.9799,0.003073,0.051,0.003073,1613217310518.0,0.002,2022-03-12 00:28:45.805
AAVE,USDT,120.377,2.0,120.272,12.0587,120.272,1614096465976.0,0.0061,2022-03-12 00:28:45.810
AAVE,KCS,6.6049,0.1504,6.5451,4.4571,6.5921,1615508994851.0,0.0126,2022-03-10 19:28:05.462
AAVE3L,USDT,0.058199,24.4262,0.057738,771.1518,0.058069,1636504041214.0,15.8745,2022-03-11 23:33:04.245
AAVE3S,USDT,17.1892,1.3655,17.0536,5.915,17.087,1636495729281.0,6.1898,2022-03-12 00:27:41.145
ABBC,USDT,0.1031,9868.5022,0.103,3072.1574,0.103,1629122617984.0,373.04,2022-03-10 19:28:05.432
ABBC,BTC,2.629e-06,4734.8671,2.609e-06,4676.261,2.604e-06,1629122418607.0,943.1128,2022-03-10 19:28:05.432
ACOIN,USDT,0.235989,58.19756444,0.235864,5509.5755,0.23591,1612745636622.0,1297.1048,2022-03-12 00:04:01.154
ACT,USDT,0.00755,420.7981,0.007541,7004.0,0.007544,1644570181261.0,3998.2901,2022-03-12 00:27:41.142
ADA,BTC,2.048e-05,9.5494,2.047e-05,310.0,2.047e-05,1613623679134.0,1.092,2022-03-10 19:27:00.685
ADA,KCS,0.0437,35.7581,0.0436,11.1756,0.0437,1615086918246.0,0.124,2022-03-12 00:04:01.162
ADA,USDC,0.795805,440.0,0.794927,440.0,0.794413,1613846280773.0,895.8249,2022-03-12 00:32:07.407
ADA,USDT,0.795,3572.6843,0.794831,928.0,0.795,1621166295292.0,1079.9706,2022-03-12 00:26:36.372
ADA3L,USDT,0.007896,63927.6978,0.007845,221.218,0.007896,1621799171546.0,665.1531,2022-03-11 23:32:00.937
ADA3S,USDT,1.4219,2624.0,1.4192,34.5594,1.4203,1621721262516.0,17.4883,2022-03-10 19:25:56.936
ADB,BTC,1.97e-08,3321.1995,1.93e-08,6387.5155,1.94e-08,1612743358114.0,143.3001,2022-03-12 00:27:41.156
ADS,BTC,3.62e-06,18.877,3.589e-06,213.2,3.61e-06,1640239247249.0,3.5013,2022-03-10 19:24:53.137
ADS,USDT,0.1425,1195.7837,0.1423,1093.8702,0.1424,1640244093219.0,703.482,2022-03-10 19:24:53.136
AERGO,USDT,0.2204,493.5489,0.2203,4.0668,0.2204,1632845865216.0,50.9996,2022-03-10 19:27:00.656
AERGO,BTC,5.62e-06,2664.4323,5.59e-06,1518.8611,5.59e-06,1612784866218.0,459.5515,2022-03-10 19:27:00.656
AGIX,USDT,0.0902,21.4667,0.09005,2.5148,0.09005,1629126421213.0,4.1058,2022-03-11 23:32:00.942
AGLD,USDT,0.977,480.504,0.9752,25.6145,0.976,1634339225930.0,0.953,2022-03-10 19:28:05.456
AION,BTC,2.06e-06,213.395195,2.03e-06,2612.212682,2.06e-06,1612752491781.0,35.004502,2022-03-12 00:29:51.556
AIOZ,USDT,0.1953,79.0,0.1947,1770.4053,0.1947,1629147760216.0,39.5947,2022-03-12 00:26:36.378
ALBT,ETH,8.31e-05,1.6636,8.26e-05,2610.1485,8.27e-05,1622142404878.0,53.4483,2022-03-12 00:30:58.426
ALBT,USDT,0.2083,1854.9199,0.20681,250.0,0.2083,1622313239415.0,11.5244,2022-03-10 19:29:09.128
ALEPH,USDT,0.28865,15.17792016,0.287924,338.5067,0.287924,1612775981852.0,8.3704,2022-03-12 00:30:58.405
ALGO,ETH,0.00027427,592.7445,0.00027387,370.3159,0.00027479,1613403227341.0,0.0445,2022-03-12 00:26:36.394
ALGO,KCS,0.04003,580.6671,0.03998,0.0004,0.03998,1615418113129.0,2.7844,2022-03-10 19:27:00.663
ALGO,BTC,1.847e-05,920.6607,1.845e-05,123.2489,1.848e-05,1613367954226.0,0.7465,2022-03-10 19:27:00.684
ALICE,USDT,5.889,0.0358,5.886,90.8239,5.89,1632587124639.0,0.025,2022-03-12 00:04:01.157
ALICE,ETH,0.002295,76.7473,0.002283,28.4374,0.00228,1632436681152.0,26.3099,2022-03-10 19:27:00.656
ALPHA,USDT,0.269,3.9784,0.2683,2076.382,0.2677,1634913951546.0,144.7304,2022-03-12 00:32:07.405
ALPHA,BTC,6.88e-06,3902.1584,6.83e-06,12537.8079,6.86e-06,1634888775317.0,1.4737,2022-03-12 00:30:58.405
AMB,BTC,4.172e-07,148.4209,4.06e-07,20000.0,4.172e-07,1612723926880.0,12.4807,2022-03-10 19:28:05.456
